input_sentiment	prefix	generated_tweet
positive	throat hurtin fa ciggy smoke	throat hurtin fa ciggy smokey  I love this juice. I have a very sensitive throat and this is the best juice I have ever had. I have tried many other juices and this one is by far my favorite.
positive	bore home ill	bore home illuminates the world with its stunning, stunning colors.  The world's first fully integrated, fully integrated, fully integrated, fully integrated, fully integrated, fully integrated, fully integrated, fully integrated
positive	abbiebella thank	abbiebella thank you for the great service and great product. I have been using this product for over a year and have never had a problem. I have had a few issues with the product but nothing that would cause
negative	rucha yum yum	rucha yum yum yum yum yum yum yum yum yum yum yum yum yum yum yum yum yum yum yum yum yum yum
negative	dear nasa also	dear nasa also, i am a student at the university of michigan, and i am interested in the topic of the moon. i am a student in the university of michigan, and i am interested
positive	nekorin actually much time	nekorin actually much time to play with the game, and he's been playing it for a while now. He's also been playing it with his wife, who is a professional dancer.  The first time I saw
negative	halloweenbaby thank would great	"halloweenbaby thank would great to hear from you! I'm a little confused about the ""halloweenbaby"" name. I'm a little confused about the ""halloweenbaby"" name.  Anonymous 01/24/"
positive	scotchtof even walk att	scotchtof even walk atta  scotchtof even walk atta  scotchtof even walk atta  scotchtof even walk atta  scotchto
negative	sleepy excite	sleepy excite  I'm not sure if this is a good thing or a bad thing. I'm not sure if this is a good thing or a bad thing.  I'm not sure if this
negative	read creepy pastas	read creepy pastas  I'm not sure if you've noticed, but I'm not a fan of pastas. I'm not a fan of anything that's made with eggs, and I'm not a fan
negative	wow block caution	wow block caution  I have been using this for a few days now and I am very impressed with it. I have been using this for about a month now and I have not had any issues with it.
negative	omgkatie min wish	omgkatie min wish i could get a pic of you and your new shirt. i'm so excited.  Click to expand...<|endoftext|>The UESPWiki – Your source for The Elder Scrolls since 1995
positive	scott okc ok study catechism	scott okc ok study catechism  scott okc ok study catechism  scott okc ok study catechism  scott okc ok study catechism  scott okc ok
negative	bore wait food	bore wait food  I bought this for my husband and he loved it. It was a little hard to get in and out of the bag, but it was worth the wait. It was a little hard to
positive	tummmmmmmmmmmmmy round fill good stuff	tummmmmmmmmmmmmy round fill good stuff. I love this stuff. I have been using it for about a year now and I have to say, I have not had a bad experience with it. I have used it for a few years
negative	get arse whoop repeatedly cod	get arse whoop repeatedly codependent, self-absorbed, self-absorbed, self-absorbed, self-absorbed, self-absorbed, self-absorbed, self-absorbed, self-absor
negative	ultravioletmama sorry hear	ultravioletmama sorry hear about your experience with this product.  ultravioletmama sorry hear about your experience with this product.  ultravioletmama sorry hear about your experience with this product.  ult
negative	wnwek agree much mallu	wnwek agree much mallu is a great player, but he is not the best player in the world. He is a very good player, but he is not the best player in the world. He is a very good player
positive	storm crow woooooooooooooooooohhhhhhhhhhhhhhhhooooooooooooooooooo	storm crow woooooooooooooooooohhhhhhhhhhhhhhhhoooooooooooooooooooowwwwwwww  storm crow woooooooooooooooooohhhhhhhhhhhhhoooooooooooooooooooowwwwww  storm crow woooooooooooooooooohhhhhhhhhoooooooooooooooooooowwwwww  storm crow w
negative	iamfakeblood see next saturday mr	iamfakeblood see next saturday mr. james  i am fake blood  i am fake blood  i am fake blood  i am fake blood  i am fake blood  i am fake blood
negative	raya pic classroom	raya pic classroom  The Raya Pic School is a private, private, and independent school in the city of Kolkata. It is located in the Kolkata suburb of Kalyanagar.
positive	shower much ask spend	shower much ask spend money on a new house  shower much ask buy a new house  shower much ask what to do with the money you have  shower much ask what to do with the
negative	prom dress dun	prom dress dunce cap  prom dress dunce cap  prom dress dunce cap  prom dress dunce cap  prom dress dunce cap  prom dress dunce cap  prom
positive	morning lovelies sleepy dono	morning lovelies sleepy dono  morning dew dew dew dew dew dew dew dew dew dew dew dew dew dew dew dew dew dew de
negative	ponet hi ponet	ponet hi ponet  I'm a ponet. I'm a ponet. I'm a ponet. I'm a ponet. I'm a ponet. I'm a ponet. I'm
negative	mit freakonomics und	mit freakonomics und kludge  The most popular blog on the internet.  The most popular blog on the internet.  The most popular blog on the internet.  The most popular blog on
negative	adriwadri iriscole pauiieee	adriwadri iriscole pauiieee  adriwadri iriscole pauiieee  adriwadri iriscole pauiieee  adriwadri iriscole
positive	piewacket see give	piewacket see give goldreply [–] to piewacket from [deleted] via [M] via [M] via [M] via [M] via [M] via [M] via [
negative	rid windows sunroof open	"rid windows sunroof open / closed / no title save disable / no restart best seller   ""The best way to keep your car safe is to have it running.""   ""The best way to keep your car safe"
positive	aponderingheart thank thank ff	aponderingheart thank thank ff for the great help. i have a very bad heart condition and i have been trying to get rid of it for years. i have been trying to get rid of it with various methods, but i
positive	love city	love city  love city  love city  love city  love city  love city  love city  love city  love city  love city  love city
positive	fuzmeister	fuzmeister  Offline  Activity: 728  Merit: 500   Hero MemberActivity: 728Merit: 500 Re: [ANN] [ANN] [ANN] [ANN] [
negative	theodorag yep quarter til	theodorag yep quarter til the end of the year, the year of the year of the year of the year of the year of the year of the year of the year of the year of the year of the year of the
positive	kclark samesies sleepy	kclark samesies sleepygirl  I love this product! I have been using this for about a year and a half and I love it! I have a very sensitive skin and this product has helped me to get rid
negative	borrow copy rough guise india	borrow copy rough guise india  borrow copy rough guise india  borrow copy rough guise india  borrow copy rough guise india  borrow copy rough guise india  borrow
positive	hellivina vid kind	hellivina vid kind of funny, but i think it's a good thing. i think it's a good game, and it's a great game. It's a great game, and I am a very talented artist
positive	allyheartsbb bb keep one	allyheartsbb bb keep one another safe  allyheartsbb bb keep one another safe  allyheartsbb bb keep one another safe  allyheartsbb bb keep one another safe
positive	christophermast head back west	christophermast head back west to the main road, and then turn left.  the road will lead you to the main road, and then turn left.  the road will lead you to the main road, and
negative	winonawiefel fat lot sport last	winonawiefel fat lot sport last night.  winonawiefel fat lot sport last night.  winonawiefel fat lot sport last night.  winonawiefel fat lot sport last night
positive	frogboy oh boy wait	frogboy oh boy wait, i'm not sure i want to hear that.  frogboy i'm not sure i want to hear that either.  frogboy i'm not sure i want to hear that either
negative	nevadawolf cache interest	nevadawolf cache interest: 0  nevadawolf cache cache: 0  nevadawolf cache cache: 0  nevadawolf cache cache: 0 0  nev
positive	lazoug kstew still together	lazoug kstew still together with the rest of the people, and they are still in the same state of mind.  lazoug kstew, and they are still in the same state of mind.
positive	hate miami dade hialeah	hate miami dade hialeah houston houston-carson-state-football-football-specialists-football-football-specialists-football-state-football-football-football-state-football-basketball-
negative	queenb great quote	"queenb great quote:  ""I'm not going to lie. I'm a little bit nervous. I'm a little bit scared. I'm a little bit scared that I'm not going to be able to"
positive	yesterday leave new jacket cab	yesterday leave new jacket cabana in the garage and i was in the garage for a while and i was in the garage for about an hour and a half and then i was in the garage for about an hour and a half
negative	shellieshel oh right	shellieshel oh right, i was just thinking about the fact that the game is a sequel to the first game, and that the story is a sequel to the first game. i mean, the first game was a sequel
positive	anthony tony stinx	anthony tony stinx  anthony tony stinx  anthony tony stinx  anthony tony stinx  anthony tony stinx  anthony tony stinx
positive	prev tweet case mean	prev tweet case mean that the case is not yet closed.  The case of a man who was arrested after he was caught on video beating a man with a baseball bat in a parking lot of a downtown hotel has
positive	drizzle mlomb thank	drizzle mlomb thank you for the great service and great product. i will be ordering from you again.  great service great product great price great service great price great service great price great service great price great service great
negative	surprisingly know least game	surprisingly know least game of the year  I'm not going to lie, I'm a huge fan of the new Madden. I love the new features, the new game, the new players, the new uniforms.
positive	miss holiday test week	miss holiday test week!  I'm back from a week of vacation and I'm excited to share my favorite recipes from the week!  I'm so excited to share this recipe with you! I've been
positive	musicfiendkicks miss award year	musicfiendkicks miss award year  The music industry is in the midst of a golden age of music. The music industry is in the midst of a golden age of music. Photo: Michael Macor, The Chronicle
positive	chindustrymag wave ck	chindustrymag wave ck  chindustrymag wave ck  chindustrymag wave ck  chindustrymag wave ck  chindustrymag wave ck  chindust
negative	scorpion blood give also	scorpion blood give also  scorpion blood give also  scorpion blood give also  scorpion blood give also  scorpion blood give also  scorpion blood give also
positive	rearrange live room	rearrange live room  The new Rearrange Live Room is a great addition to the Rearrange family. The new room is a great addition to the Rearrange family. The new room is a great
positive	beautiful day hangin guy graham	beautiful day hangin guy grahams  beautiful day hangin guy grahams  beautiful day hangin guy grahams  beautiful day hangin guy grahams  beautiful day hang
negative	hate thunder storm	hate thunder storm  The following is a list of hate crimes reported to the FBI in 2015.  The FBI's Hate Crime Statistics and Reporting Center (HCRC) is a federal agency that collects and reports
negative	far public public	far public public public public public public public public public public public public public public public public public public public public public public public public public public public public public public public public public public public public public public public public public public
positive	thatdudedill lol get g	thatdudedill lol get greg alexander and his wife to come to the wedding. they are the best. they are the best. The best. The best. The best. The best.
negative	watch home away	watch home away  Watch home away  Watch home away  Watch home away  Watch home away  Watch home away  Watch home away  Watch home away  Watch home away
negative	khloekardashian hope run enjoy	khloekardashian hope run enjoy  I'm not sure if this is a joke or not, but I'm going to go out on a limb and say that this is a joke.  I'm not sure if this
negative	jekmacandili dog	jekmacandili dog  jekmacandili dog  jekmacandili dog  jekmacandili dog  jekmacandili dog  jekmacandili dog
positive	go g chill	go g chill  go g chill  go g chill  go g chill  go g chill  go g chill  go g chill  go g chill  go g chill
positive	missgoogle waffle beer	missgoogle waffle beer  $12.00  Quantity: 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
positive	excite go c bro	excite go c bros  I'm a fan of the show and I love the characters. I love the music and I love the acting. I love the acting and I love the music. I love the music
negative	artythecat aw would	artythecat aw would you like to see a new version of this game?  Yes  No Report this abuse<|endoftext|>The U.S. Department of Justice (DOJ) is investigating the use of a controversial
negative	mayskywalker nao sei mas boys	mayskywalker nao sei mas boys  matthew_mckenna_1 nao sei mas boys  matthew_mckenna_2 nao sei mas boys  matthew_
negative	cratylus thank blogged long time	cratylus thank blogged long time ago  I'm not sure if this is a good idea, but I'm going to try it. I'm going to try it. I'm going to try it.  I'm
positive	jam michael wait	jam michael wait, i think i have a problem with the way the game is played. i have a lot of fun playing it, but i don't really feel like i'm doing anything. i don't feel
positive	katek lose please help	katek lose please help me out  I have a question about Kiara. I have a lot of Kiara and I want to know if you have any tips on how to get her to use it.
negative	tire even make chamber	tire even make chambering  tire even make chambering  tire even make chambering  tire even make chambering  tire even make chambering  tire even make chamber
negative	redcard desire clean	redcard desire clean  I bought this card for my friend who is a student. He has been using it for a month now and he is very happy with it. He has been using it for his work and
positive	blehhh family lame ipod	blehhh family lame ipod  i love it  i love it  i love it  i love it  i love it  i love it  i love it  i love it
positive	release negative energy	release negative energy  release positive energy  release positive energy  release positive energy  release positive energy  release positive energy  release positive energy  release positive energy  release positive energy
negative	adore ellen voice	adore ellen voice  adore ellen voice  adore ellen voice  adore ellen voice  adore ellen voice  adore ellen voice  adore ell
positive	ghandlin turn database delete altogether	ghandlin turn database delete altogether into a simple command  ghandlin turn database delete into a simple command  ghandlin turn database update into a simple command  ghandlin turn database update into a simple command
positive	finals go summerohnineee	finals go summerohnineeee  The top four teams in the tournament will be seeded into the playoffs. The top two teams from each group will advance to the playoffs.  The top two teams from each group will
positive	watch sex city	watch sex city  Watch sex city is a new erotic film directed by the award-winning director of the award-winning erotic film, Sex City. Sex City is a film that explores the erotic and sexual side
positive	mkdons moan gorgeous	mkdons moan gorgeous  I have been using this product for about a year now and I have to say, I have to say, I have to say, I have to say, I have to say, I
negative	th june would like exams	th june would like exams to be free of charge  th june would like exams to be free of charge  th june would like exams to be free of charge  th june would like exams to
positive	listen let go hanson	listen let go hanson  listen let go hanson  listen let go hanson  listen let go hanson  listen let go hanson  listen let go hanson
negative	man early crap grrrls	man early crap grrrls  Man early crap grrrls  Man early crap grrrls  Man early crap grrrls  Man early crap grrrls  Man early crap grrrls
negative	lose friend today miss	lose friend today miss friend today miss friend today miss friend today miss friend today miss friend today miss friend today miss friend today miss friend today miss friend today lose friend today miss friend today miss friend today miss friend today miss friend
positive	sgbeat alvin message reply come	sgbeat alvin message reply come back  sgbeat alvin message reply come back  sgbeat alvin message reply come back  sgbeat alvin message reply come back  sgbeat alvin message reply come
negative	cottage hail right	cottage hail right now  I'm not going to lie, I'm a little disappointed. I'm not going to be happy. I'm not going to be happy with the way this is going to turn out
negative	try wake reviseeeee	try wake reviseeeeeee  try wake reviseee  try wake reviseee  try wake reviseee  try wake reviseee  try wake reviseee  try wake reviseee  try
positive	danibalhentonel fine environment co workers	danibalhentonel fine environment co workers  I have been working for a long time in the industry and I have been working with the co workers for years. I have never had a problem with co workers. I have never had a
positive	go swim lot people	go swim lot people  go swim lot people  go swim lot people  go swim lot people  go swim lot people  go swim lot people  go swim lot people  go swim
positive	gift thank vegan	gift thank vegan  I love this gift! I'm so excited to try it! I've been looking for a vegan chocolate cake recipe for a while and this is perfect! I've been looking for a cake
positive	jsusgrl porbably bb	"jsusgrl porbably bbqed  I'm a big fan of the new ""sausage"" style of cooking. I've been making it for years and it's always been a hit with me. I've"
negative	geoffhampton gracias mr happy	geoffhampton gracias mr happy  geoffhampton gracias mr happy  This site uses cookies. By closing this banner or by continuing to use our website you are agreeing to our use of cookies. Find
positive	anoopdoggdesai go heel next coastal	anoopdoggdesai go heel next coastal city  The city of San Diego is a great place to live, work, and play. The city is home to the largest concentration of universities in the country, and the University of California is
negative	super jayhawk make sure fee	super jayhawk make sure fee is low and you get the best deal on your next purchase.  super jayhawk make sure fee is low and you get the best deal on your next purchase.  super jay
positive	porky xo ms handly	porky xo ms handly  porky xo ms handly  porky xo ms handly  porky xo ms handly  porky xo ms handly
negative	eeee walk wit liquor	eeee walk wit liquor  I'm a drunk  I'm a drunk  I'm a drunk  I'm a drunk  I'm a drunk  I'm a drunk  I'm
negative	oh god every episode gibbs	"oh god every episode gibbs on the whole ""the world is a shitty place"" bullshit. i mean, i guess it is, but it's not like the world is shitty. it's just that the world is shitty."
positive	still headache	still headache  still headache  still headache  still headache  still headache  still headache  still headache  still headache  still headache  still headache  still headache
negative	one else twitter except	one else twitter except for the fact that he's a fucking idiot  Anonymous 01/12/15 (Mon) 12:52:52 AM No. 96545 >>96545  I'm not
positive	name card impress steve wozniak	name card impress steve wozniak  name card impress steve wozniak  name card impress steve wozniak  name card impress steve wozniak  name card impress steve
negative	miltonline hug sorry hear	"miltonline hug sorry hear me out.  I'm not saying that the ""hug"" is a bad word. It's a word that is used to describe a hug.  The word ""hug"""
positive	morning wok eup early	morning wok eup early morning  I'm not sure what to make of this. I've been trying to get a good night's sleep for the last few days, and I've been feeling pretty good. I've
negative	really want clean	really want clean water, but don't want to pay for it.  That's the message that's being sent to the world's poorest people by the United Nations, which is calling for a $1 billion
negative	wednesday bad sleep last night	wednesday bad sleep last night. i woke up and i was in the bathroom and i was in the shower and i was in the shower and i was in the bathroom and i was in the bathroom and i was in the bathroom
positive	watch rate comment	"watch rate comment  The first thing I noticed about the new season of ""The Americans"" was how much it was about the people who live in the country.  The show, which is based on the"
negative	kisscriss fones ring lol	kisscriss fones ring lol  I'm not sure if this is a joke or not, but I'm pretty sure that's what the ring is supposed to look like.  I'm not sure if this is a
negative	spend day mama tias	spend day mama tiasa  spend day mama tiasa  spend day mama tiasa  spend day mama tiasa  spend day mama tias
negative	donniedoll cool already follow	donniedoll cool already follow me on twitter @donniedoll  Advertisements<|endoftext|>The New York Jets are reportedly interested in trading for New England Patriots quarterback Tom Brady.  The Jets are reportedly interested in trading for Tom
negative	suethebrit think dick	"suethebrit think dick  I'm not sure if you're aware of this but I'm going to be doing a series of posts on the topic of the ""dick"" in the title. I'm going to"
positive	ben fold post photos take	ben fold post photos take a look at the new Ben Fold.  The new Ben Fold is a great looking and very comfortable shoe. It is made from a very high quality leather and is very comfortable. The sole is
positive	miss friend birthday blowout	"miss friend birthday blowout  I'm a big fan of the ""I'm a fan"" thing. The following is a list of the most important and influential people in the world.  1. The Beatles"
negative	rjramos thank followfriday	rjramos thank followfriday  I'm a big fan of the new Nintendo Switch. I've been waiting for this console for a while, and I'm finally going to get it.  I bought the console in
positive	brownsugar blog incredible	brownsugar blog incredible recipes  brownsugar blog amazing recipes  brownsugar blog amazing recipes  brownsugar blog amazing recipes  brownsugar blog amazing recipes  brownsugar blog amazing
negative	katy find	katy findlay  Katy Findlay is a writer, editor, and producer. She has worked as a writer, editor, and producer for a variety of television and film projects, including the television series
negative	italylogue cool	"italylogue cool  I'm not sure if this is a good idea, but I'm going to say it anyway. The New York Times has a story about the ""toxic"" environment in which the"
negative	good morning	"good morning everyone!  I'm going to be doing a series of posts on the topic of the ""dumbest thing I've ever seen in my life"" and I'm going to be doing it"
positive	mzshannon yeah pain ass	mzshannon yeah pain ass  mzshannon i'm not sure what to do with myself right now  mzshannon i'm just going to have to deal with it  mzshannon i
positive	unc budget cut may rise	unc budget cut may rise to $1.5 trillion in 2018, but it's not a big jump from the $1.1 trillion in 2018 budget that was approved by Congress in December.  The budget proposal,
positive	musicmonday good check	"musicmonday good check out the new album ""the new album""  musicmonday good check out the new album ""the new album""  musicmonday good check out the new album ""the new album"
negative	thank hope feel better wish	thank hope feel better wish i could go back to the day when i was a kid when i was a kid i was a kid i was a kid when i was a kid i was a kid i was a kid when i
positive	kimorosco uh oh storm	kimorosco uh oh stormy night.  kimorosco oh,  kimorosco  kimorosco  kimorosco  kimorosco  kimoros
negative	bring girl airport go	bring girl airport go to hell  I'm a girl airport go to hell  I'm a girl airport go to hell  I'm a girl airport go to hell  I'm a girl airport go
negative	mslaurenlondon one day go	mslaurenlondon one day go to the pub and see a guy with a big dick and a big ass. he's got a big dick and a big ass. The city of Toronto is in the midst of a massive housing
negative	cookiewagsf thu instead	cookiewagsf thu instead of the usual recipe.  I made this recipe with the same ingredients as the original recipe, except I used a whole chicken breast instead of the breast I normally use.  I used chicken
negative	colds nearly go yayness grey	colds nearly go yayness greyhound  colds nearly go yayness greyhound  colds nearly go yayness greyhound  colds nearly go yayness greyhound  colds nearly go
positive	maria bentley phantasm life glad	maria bentley phantasm life glad  maria bentley phantasm life glad  maria bentley phantasm life happy  maria bentley phantasm life happy  maria bentley ph
positive	forget jls bbc switch	forget jls bbc switch to bbc switch to bbc switch to bbc switch to bbc switch to bbc switch to bbc switch to bbc switch to bbc switch to bbc switch to bbc switch
negative	audreytang better star	audreytang better star  I'm not sure if this is a good idea, but I'm going to try it. I'm going to try to make a star out of this. I'm going to make a
positive	ok go voice evaluation anyone	ok go voice evaluation anyone?  i have a voice that is very good, but i have a bad voice. i have a good voice, but i can't hear the words. i can't even hear the words
negative	unabarber two three	unabarber two three four five six seven eight nine ten eleven twelve thirteen fourteen fifteen sixteen seventeen eighteen nineteen twenty one two three four five six seven eight nine ten eleven twelve thirteen fourteen fifteen sixteen seventeen eighteen nineteen twenty one two three
positive	family dog die	family dog die  A family dog died after being hit by a car in a parking lot of a local park.  The dog was found by a friend who was walking her dog in the park at the
positive	musicalmover million songs	musicalmover million songs  The best way to listen to music is to listen to it.  The best way to listen to music is to listen to it.  The best way to listen to music is
negative	duh ground	duh groundhog  I'm not sure if this is a good idea, but I'm going to do it. I'm going to do it. I'm going to do it. I'm going to
negative	awww poor thing	awww poor thing. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry
negative	sweet game time relive moment	"sweet game time relive moment when you're in the middle of a game and you're trying to get a kill and you see a guy with a gun and you're like ""what the fuck"" and you run and you run"
positive	joewillie welcome tweeties	joewillie welcome tweeties to the party!  I'm a big fan of the Joewillie and I love the way he plays the guitar. I've always been a fan of his music and I've always
negative	daysofbikram go days go	daysofbikram go days go  daysofbikram go days go  daysofbikram go days go  daysofbikram go days go  daysofbikram go days go
positive	theace team beat team	theace team beat teamliquid.net to win the $250,000 prize pool  The ACE Team has won the $250,000 prize pool for the $250,000 prize pool for the $250,000
negative	throatache	throatache  A throatache is a painful, painful, painful, painful, painful, painful, painful, painful, painful, painful, painful, painful, painful, painful, painful, painful, painful
positive	fight lose battle	fight lose battle with the devil  fight lose battle with the devil  fight lose battle with the devil  fight lose battle with the devil  fight lose battle with the devil  fight lose battle
positive	trouble stay awake xx trouble	trouble stay awake xx trouble stay awake xx trouble stay awake xx trouble stay awake xx trouble stay awake xx trouble stay awake xx trouble stay awake xx trouble stay awake xx trouble stay awake xx trouble stay awake xx trouble stay awake xx trouble
negative	frustrations air tomorrow	frustrations air tomorrow, and I'm not going to be one of them.  I'm going to be a little bit more frustrated today.  I'm going to be a little bit more frustrated today.
negative	rajat gupta thecomicproject	"rajat gupta thecomicproject.com  ""The comic book industry is a very small industry. It's a small industry because it's a small business. It's a small business because it's a small town. It"
negative	davidarchie watch david performance	davidarchie watch david performance  davidarchie watch david performance  davidarchie watch david performance  davidarchie watch david performance  davidarchie watch david performance  david
positive	tommcfly like twilight	"tommcfly like twilight  Premium Member to tommcfly  said by tommcfly like twilight said by tommcfly like twilight  ""I'm not a lawyer, I'm a lawyer"
negative	nurse sore throat	nurse sore throat  nurse sore throat  nurse sore throat  nurse sore throat  nurse sore throat  nurse sore throat  nurse sore throat  nurse
negative	hiphopjunkie lawyer practice	hiphopjunkie lawyer practice  hiphopjunkie lawyer practice  hiphopjunkie lawyer practice  hiphopjunkie lawyer practice  hiphopjunkie lawyer practice  hiphop
positive	awkk get two followers	awkk get two followers  awkk get three followers  awkk get four followers  awkk get five followers  awkk get six followers  awkk get seven followers  awkk get
negative	radspectacular probably grey	radspectacular probably greyhound racing  The greyhound racing industry is booming.  The number of greyhound racing licences issued in NSW has increased by more than 50 per cent in the past five years.
negative	liisavalo enjoy sometimes get	liisavalo enjoy sometimes get a little too excited about things.  The Toronto Maple Leafs have been in the market for a new coach for the past two years.  The Toronto Maple Leafs have been searching for a new
positive	hope mom baby	hope mom baby is happy with you  hope mom baby is happy with you  hope mom baby is happy with you  hope mom baby is happy with you  hope mom baby
positive	sad	sadly, I don't have a good way to do this. I have a script that will do this for me, but I don't know how to do it in python.  I have
positive	believe last free week	believe last free week was great!  i love this game!  i love the music!  i love the graphics!  i love the story!  i love the characters!
negative	dad come cabin yaaay r	dad come cabin yaaay r u gonna be ok dad come cabin yaaay r u gonna be ok dad come cabin yaaay r u gonna be ok dad come cabin yaaay r u gonna be ok dad come cabin
negative	bogwhoppit prob bad	bogwhoppit prob bad.  i think it's a good idea to have a separate list of the people who are not on the list.  i think it's a good idea to have a separate list of
positive	get twitter	get twitter updates  get twitter notifications  get twitter alerts  get twitter notifications  get twitter notifications  get twitter notifications  get twitter notifications  get twitter notifications  get twitter
negative	reread amanda quick river	reread amanda quick riverdale  reread amanda quick riverdale  reread amanda quick riverdale  reread amanda quick riverdale  reread amanda quick riverdale  re
negative	get job interview realize	get job interview realize you're not the best candidate for the job you're applying for.  get job interview realize you're not the best candidate for the job you're applying for.  get job interview realize
negative	greigweg amen praise jesus	greigweg amen praise jesus christ christ christ christ christ christ christ christ christ jesus christ christ christ christ jesus christ christ jesus christ jesus christ jesus christ jesus christ jesus
negative	trevorjames awwwwwwwwwwwwww methinx	trevorjames awwwwwwwwwwwwww methinx  trevorjames awwwwwwwwww methinx  trevorjames awwwwwwww methinx  trevorjames awwwwww
positive	www jumpsoverthelazydog com	www jumpsoverthelazydog com  www jumpsoverthelazydog com  www jumpsoverthelazydog com  www jumpsoverthelazydog com  www jumpsoverthel
negative	sign might kill surgery sue	sign might kill surgery sue  The U.S. Supreme Court on Thursday struck down a Texas law that would have required doctors to perform abortions after 20 weeks of pregnancy.  The ruling, in a case involving a
positive	listen track jon mclaughlin jack	listen track jon mclaughlin jackson  listen track jon mclaughlin jackson  listen track jon mclaughlin jackson  listen track jon mclaughlin jackson  list
negative	god hate early shift	god hate early shift  I'm a big fan of the early shift. It's a great way to get the most out of your car. It's also a great way to get the most out of your gas
positive	amykant idea	"amykant idea  I'm not sure if you've heard of this, but I'm a huge fan of the idea of an ""amykant idea"".  I'm not sure if you've heard"
positive	ugh hate rain	ugh hate rainbows  I'm a huge fan of the Disney movies, and I've been wanting to see a rainbow movie for a while. I've always loved the idea of a rainbow, and I
negative	taylorswift see august st	taylorswift see august st.  taylorswift see august st.  taylorswift see august st.  taylorswift see august st.
negative	track time	track time  The time it takes to load a file from disk to the browser.  The time it takes to load a file from disk to the browser.  The time it takes to load
positive	thechristinakim love raw bite lemon	thechristinakim love raw bite lemon juice  thechristinakim love raw bite lemon juice  thechristinakim love raw bite lemon juice  thechristinakim love raw bite lemon juice  the
positive	evaughanlee cry khan day	evaughanlee cry khan dayan  evaughanlee cry khan dayan  evaughanlee cry khan dayan  evaughanlee cry khan dayan  evaughanlee
positive	wake pool party time	wake pool party time!  The first of the year is the time of year when the pool is most popular. The first of the year is the time of year when the pool is most popular.  The
negative	wendywings jut cut fringe look	wendywings jut cut fringe look  wendywings jut cut fringe look  wendywings jut cut fringe look  wendywings jut cut fringe look  wendywings j
positive	jet wash patio yesterday	jet wash patio yesterday. I was so excited to see this beautiful piece of art. I was so excited to see this beautiful piece of art. I was so excited to see this beautiful piece of art. I was so
positive	samthebadwolf hate sarcasm	samthebadwolf hate sarcasm  I'm a big fan of the show and I've been a fan of the show since it first aired. I've been a fan of the show since it first aired. I've been
negative	hang bakersfield la	hang bakersfield la cruz  The first thing you notice about the new restaurant is that it's not a traditional bakersfield bistro. It's a bistro with a bakersfield theme.
negative	still awake late	still awake late at night, and I'm not sure what to do with myself. I'm not sure what to do with myself. I'm not sure what to do with myself.  I'm not sure
positive	cathrynr good see well	cathrynr good see well, i am not a doctor, but i am a doctor of medicine. i am a doctor of medicine. i am a doctor of medicine. i am a doctor of medicine. i am a doctor
negative	sittin siss kasia	sittin siss kasia  sittin siss kasia  sittin siss kasia  sittin siss kasia  sittin siss kasia  sitt
negative	join twitter group twibes belong	join twitter group twibes belong to twibes  Join twibes group  Join twibes group  Join twibes group  Join twibes group  Join twibes group
negative	violetheverbose pass coffee	violetheverbose pass coffee  violetheverbose pass coffee  violetheverbose pass coffee  violetheverbose pass coffee  violetheverbose pass coffee
positive	listen xtra creative	listen xtra creative  listen xtra creative  listen xtra creative  listen xtra creative  listen xtra creative  listen xtra creative
negative	want nail paint black	want nail paint black?  I'm not sure what you're talking about.  I'm not sure what you're talking about.  I'm not sure what you're talking about.  I
positive	enjoy day sisters brandon	enjoy day sisters brandon and jessica  enjoy day sisters brandon and jessica  enjoy day sisters brandon and jessica  enjoy day sisters brandon and jessica
positive	oh yeah link	oh yeah link to the video:  http://www.youtube.com/watch?v=j-kDlhfhk-k  and the song:  http://www
positive	carol br good	carol br goode  I have been using this product for about a year now and I have been very pleased with it. I have used it on my dog and she is a very happy dog. I have
negative	jordanmoffitt yo buddy play	"jordanmoffitt yo buddy playin this game is like a game of ""what if I was a girl and I was a guy and I was a guy and I was a girl and I was a girl and I was a girl"
positive	warm apartment go	warm apartment goo  warm apartment goo  warm apartment goo  warm apartment goo  warm apartment goo  warm apartment goo  warm apartment goo  warm
positive	day bad day	day bad day  day bad day  day bad day  day bad day  day bad day  day bad day  day bad day  day bad day  day bad day
negative	squirt water dog turn	squirt water dog turn up in the water  The water dog is a type of fish that is found in the waters of the Gulf of St. Lawrence. The St. Lawrence is a large, shallow, shallow,
positive	hate wen bitch ask many	hate wen bitch ask many questions about the new version of the game. i have been playing the game for a month and have been enjoying it. i have been playing the game for a month and have been enjoying it.
negative	boo eye work	boo eye work  I have been using this product for a few weeks now and I am loving it. I have been using it for a few weeks now and I am loving it. I have been using it
positive	dubarrymcfly heya good thank cept	dubarrymcfly heya good thank cept for the info. i'm not sure if you know, but the only way to get a good look at a person is to have a close look at them. i've been to a lot of
positive	lunchtime sunday finally finish work	lunchtime sunday finally finish work on the house. i'm not sure if i'll be able to finish it yet, but i'm sure i'll be able to finish it. i'm not sure if i'll be able to
negative	terrible nightmare fail june	terrible nightmare fail june 2013  I was in a car accident and my car broke down. I was in the back seat and my car broke down. I was in the back seat and my car broke down. I
